date,index_all_shortage,energy_shortage,food_shortage,industry_shortage,labor_shortage,index_can,index_deu,index_fra,index_gbr,index_jpn,index_usa
1913m12,27.43165,5.2025542,13.715825,5.6755137,2.8377569,81.120041,23.589558,25.982725,50.061329,38.708153,27.790962
1914m1,25.201273,2.7492297,6.8730745,9.1640997,6.4148693,57.15593,45.707306,30.206593,34.642574,15.000241,25.610626
1914m2,29.823145,8.0876322,12.131449,7.0766783,2.5273852,23.644722,35.295986,16.661474,22.929949,24.821678,30.426115
1914m3,20.315628,1.8058337,10.835002,4.966043,2.7087505,56.314373,18.013727,19.841225,23.892752,14.77938,16.822359
1914m4,16.526562,1.88875,8.4993753,4.7218752,1.4165624,14.725023,23.551054,25.940313,14.27989,15.457987,16.918049
1914m5,17.444424,1.453702,7.753077,7.2685094,.96913463,15.111085,19.334812,26.620417,18.317852,0,15.278214
1914m6,23.822575,3.0411794,10.137266,8.1098118,2.5343165,15.806377,5.0561118,16.707167,30.65711,0,20.339705
1914m7,39.289906,2.0148668,13.096635,17.630085,6.5483174,39.270634,10.049448,49.810349,30.466795,0,30.320158
1914m8,59.942287,5.7087893,32.349804,15.69917,6.1845217,89.013435,289.47992,219.53452,147.46774,77.870193,60.68042
1914m9,42.933254,5.3004017,22.791727,10.600803,4.2403212,90.910278,222.06694,151.41638,156.28734,17.351908,44.818424
1914m10,38.654873,5.9469037,13.876108,13.380533,5.4513288,77.271828,182.9099,130.68076,112.40388,48.670902,38.352989
1914m11,40.819595,6.0994797,15.483294,11.260577,7.9762425,95.105209,173.17174,103.10273,131.25069,7.6799412,45.05262
1914m12,32.308228,3.3258469,11.878025,15.203872,1.900484,22.224754,142.18419,93.965286,122.13314,31.108042,35.408157
1915m1,47.371864,4.3065333,15.312118,21.532665,6.2205477,82.070961,205.24832,157.72382,162.79768,31.329523,54.861935
1915m2,82.240768,3.6902907,49.555332,20.033007,8.9621344,123.30063,326.04691,167.97755,223.20348,86.292091,93.687149
1915m3,63.055836,7.2201338,27.91785,17.809664,10.108188,75.052559,259.28275,243.27783,200.1553,39.394215,66.914703
1915m4,43.564327,1.9579471,19.579472,14.684604,7.3423018,61.057991,146.48328,161.34404,96.219864,32.04863,44.896942
1915m5,47.759789,7.4917316,18.261097,10.30113,11.70583,36.504276,186.83061,128.6154,130.98282,22.992804,46.302784
1915m6,60.868519,3.069001,24.552008,16.879505,16.368006,71.779396,163.27571,140.50006,158.55502,41.862415,65.975708
1915m7,75.978233,6.9979954,31.990835,19.994272,16.995131,93.527298,214.40747,208.69879,200.29582,81.818985,75.935928
1915m8,48.905506,6.8467708,15.160707,21.029367,5.8686604,61.004131,204.89572,198.81548,147.89999,40.025452,43.455551
1915m9,56.939762,7.8357468,12.014812,30.298222,6.7909808,81.451797,140.69504,154.96858,134.28221,68.404961,59.892845
1915m10,62.77853,7.9054441,12.555706,36.272038,6.0453396,72.508492,153.07954,143.06261,119.53819,45.670639,55.982521
1915m11,89.79689,4.0586166,21.307735,51.240032,13.190503,118.65629,242.91542,156.07623,180.27531,66.433403,79.252007
1915m12,83.236465,15.001922,15.001922,44.037899,9.194726,113.18476,231.714,207.36742,219.52643,39.606243,79.065285
1916m1,90.929047,12.52594,18.556948,48.248066,11.598092,108.5049,240.64441,163.11252,210.44966,75.937279,84.43959
