DAY,N10D,GPRD,GPRD_ACT,GPRD_THREAT
19860310,446,61.907604,78.288727,62.020111
19860311,434,79.524162,93.862289,101.97593
19860312,510,74.440857,102.6964,43.389759
19860313,529,97.864334,77.006119,83.662674
19860314,509,94.929039,114.33128,65.212509
19860315,361,133.84731,96.722359,168.57101
19860316,621,44.461819,37.484459,44.542625
19860317,443,85.699402,26.272968,112.3922
19860318,416,82.965111,97.923653,53.194176
19860319,511,67.541069,56.941902,54.131058
19860320,541,44.657005,43.027447,40.903469
19860321,534,103.41119,130.77443,72.519394
19860322,338,112.322,120.52141,98.204628
19860323,644,85.747795,81.327888,85.903641
19860324,474,123.78255,98.218765,128.38426
19860325,489,197.62323,261.81631,135.75937
19860326,504,239.677,346.39658,197.57837
19860327,537,179.95859,195.06578,164.8326
19860328,527,150.62811,209.80984,115.47274
19860329,326,169.39134,124.95778,186.66913
19860330,501,165.33408,162.61971,121.46534
19860331,403,111.33382,57.761414,178.45787
19860401,433,79.707817,13.439867,102.21144
19860402,465,103.91157,37.544918,130.86911
19860403,494,139.73071,164.92403,179.18039
19860404,523,85.78878,100.14371,63.466854
19860405,326,105.86959,178.51111,33.939842
19860406,619,83.635269,103.41532,80.435776
19860407,480,115.04496,121.2388,126.77945
19860408,444,178.78607,196.60344,137.05887
19860409,544,126.88783,74.88279,203.3895
19860410,543,152.54581,182.19312,203.76405
19860411,520,192.47906,201.44293,202.13788
19860412,353,175.98946,181.34302,156.71939
19860413,582,94.882439,99.990761,123.57135
19860414,419,131.79375,194.44504,105.62663
19860415,473,299.16553,406.009,257.31137
19860416,520,325.22324,470.03351,287.24854
19860417,550,163.15466,179.8743,150.87802
19860418,510,257.15933,387.96417,173.55904
19860419,360,182.15451,193.98209,184.40648
19860420,577,191.40929,242.05736,162.99359
19860421,475,108.98996,122.515,104.82052
19860422,457,128.38715,191.0108,121.05457
19860423,525,151.20195,177.35504,147.52518
19860424,531,155.99316,164.39159,145.85823
19860425,530,104.19166,164.70177,52.190514
19860426,350,138.05394,116.38924,189.67522
19860427,565,122.17163,113.29926,176.24689
19860428,422,139.03539,151.69214,144.2041
19860429,421,196.75146,152.05246,197.10907
19860430,562,116.6826,134.61389,98.437614
19860501,568,109.37372,102.45532,97.397789
19860502,534,96.947998,108.97869,51.799568
19860503,374,129.19487,108.92042,177.50356
19860504,638,102.78311,91.214149,69.369202
19860505,428,145.15018,135.96875,168.03394
19860506,463,134.1777,138.25935,119.48583
19860507,509,94.929039,68.59877,97.818756
19860508,568,85.068451,102.45532,97.397789
19860509,529,71.767174,66.005241,73.204842
19860510,351,108.16192,132.63731,141.85114
19860511,595,40.604103,68.464264,46.489029
19860512,425,89.329025,123.23567,104.13541
19860513,448,107.85464,142.88858,111.13783
19860514,530,149.77551,120.7813,156.57153
19860515,538,115.47263,75.717911,164.52621
19860516,546,101.13842,74.60849,131.71892
19860517,339,111.99066,85.832779,163.19157
19860518,568,85.068451,112.70085,77.918228
19860519,443,101.28111,131.36484,99.904182
19860520,418,239.44763,208.83237,251.46338
19860521,507,142.95526,80.347603,174.58601
19860522,557,154.90793,135.82228,148.98189
19860523,523,72.590508,77.889549,42.311237
19860524,327,200.53708,142.37218,219.93433
19860525,571,181.3318,173.25896,174.3949
19860526,361,172.0894,161.20393,107.27246
19860527,393,158.07704,103.65454,182.99878
19860528,475,138.05394,122.515,186.34758
19860529,525,92.035965,44.33876,115.91264
19860530,530,71.631767,109.80118,73.066719
19860531,359,96.137848,48.630604,107.87008
19860601,622,110.97584,93.560486,151.20145
19860602,426,89.119331,95.624962,64.931862
19860603,456,75.687469,12.761979,109.18804
19860604,496,125.25055,70.396721,111.53617
19860605,553,74.893646,42.093761,110.04364
19860606,511,94.557495,102.49542,75.783478
19860607,346,169.57494,218.65031,127.912
19860608,632,70.992935,46.040051,105.04166
19860609,453,76.188713,51.385979,85.486443
19860610,450,107.3753,103.45711,86.056358
19860611,483,121.47604,120.48576,114.53819
19860612,555,143.02885,10.485518,209.32626
19860613,522,152.07092,55.741974,201.36339
19860614,337,92.172516,86.342171,98.49604
19860615,587,76.435318,59.483433,75.396172
19860616,449,76.867455,38.88282,110.8903
19860617,454,76.020889,25.636396,109.66904
19860618,509,67.806458,80.031898,43.475006
19860619,569,48.525112,51.13763,87.503952
19860620,537,141.39604,140.88084,123.62445
19860621,346,149.62494,100.91553,223.84601
19860622,536,57.951752,86.857643,51.606289
19860623,422,81.785515,55.160782,91.766258
19860624,425,105.57066,82.157112,104.13541
19860625,516,107.01856,180.44844,85.770454
19860626,559,111.13467,114.51536,108.8625
19860627,558,117.51904,62.574863,138.80058
19860628,361,105.16575,64.481575,122.5971
19860629,607,73.916855,95.872528,72.911949
19860630,440,86.283714,52.904202,125.73169
19860701,439,94.342102,66.280891,126.0181
19860702,483,64.310844,84.340034,57.269093
19860703,526,78.737991,66.381699,94.65731
19860704,372,83.500366,109.50601,59.485958
19860705,318,75.973083,91.500984,69.587349
19860706,528,71.903099,44.086838,83.821129
19860707,393,114.16675,133.27013,112.61464
19860708,411,83.974426,56.6371,80.761955
19860709,450,161.06294,193.98209,86.056358
19860710,516,107.01856,90.22422,96.49176
19860711,468,73.746765,62.173744,118.20928
19860712,343,70.435684,101.79817,48.386539
19860713,535,83.864548,97.897491,93.064949
19860714,402,128.78166,115.81019,151.37845
19860715,428,145.15018,122.37187,142.18256
19860716,475,79.925972,36.754501,93.17379
19860717,498,145.53879,35.056999,199.95882
19860718,497,69.443634,46.836716,122.44293
19860719,339,132.3526,137.33244,114.2341
19860720,539,96.048668,97.170982,71.84668
19860721,425,105.57066,82.157112,117.15234
19860722,419,65.896873,41.666794,118.82994
19860723,483,121.47604,84.340034,160.35345
19860724,497,83.332359,81.964256,111.31176
19860725,506,34.104237,23.001827,54.665951
19860726,346,99.749962,84.096275,79.945
19860727,554,43.6091,63.026669,39.943642
19860728,421,90.177757,96.760658,65.703018
19860729,420,115.04496,55.423454,158.0627
19860730,500,110.44316,81.472473,110.64388
19860731,468,95.870796,62.173744,153.67206
19860801,497,76.388,58.545898,133.57411
