date,finance,energy,telecom,transport,trade,health,housing,agriculture,finance_regulation,energy_regulation,telecom_regulation,transport_regulation,trade_regulation,health_regulation,housing_regulation,agriculture_regulation
1960-06-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.03,0.0,0.0,336.15,0.0,0.0,567.1,332.59
1960-06-16,0.0,0.0,573.59,0.0,0.0,0.0,1301.43,0.0,0.0,0.0,0.0,179.5,0.0,389.87,346.08,0.0
1960-06-17,291.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-06-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392.18,0.0,0.0,0.0,0.0
1960-06-19,0.0,182.84,0.0,193.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.9,0.0,0.0,200.58,117.64
1960-06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.94,0.0,0.0,0.0
1960-06-21,0.0,0.0,0.0,509.48,0.0,0.0,0.0,0.0,130.56,139.49,0.0,208.91,170.85,0.0,0.0,0.0
1960-06-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.36,0.0,0.0,0.0,320.92
1960-06-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.27,0.0,0.0,174.42,190.19,0.0,0.0,1035.42
1960-06-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.66,0.0,0.0,0.0
1960-06-25,0.0,0.0,609.07,0.0,440.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.83,0.0,0.0,0.0
1960-06-26,98.52,0.0,0.0,0.0,175.87,0.0,367.76,0.0,0.0,0.0,0.0,278.97,193.58,0.0,330.06,0.0
1960-06-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1661.88,99.4,0.0,0.0,0.0,216.77,0.0,287.47,0.0
1960-06-28,0.0,0.0,0.0,578.07,0.0,0.0,0.0,1486.11,88.88,0.0,0.0,414.8,0.0,0.0,0.0,351.78
1960-06-29,0.0,521.68,0.0,551.55,0.0,0.0,0.0,0.0,84.81,0.0,427.26,0.0,308.25,0.0,408.79,0.0
1960-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.18,591.38,342.38,213.33,0.0,0.0,0.0
1960-07-01,0.0,0.0,0.0,522.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.77,233.74,0.0,0.0,0.0
1960-07-02,254.69,0.0,0.0,426.38,0.0,0.0,0.0,0.0,131.12,0.0,297.27,0.0,0.0,213.6,0.0,0.0
1960-07-03,0.0,0.0,0.0,0.0,0.0,0.0,666.9,0.0,61.32,0.0,0.0,0.0,200.59,124.86,310.35,364.03
1960-07-04,0.0,0.0,414.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.61,0.0,0.0,281.42,385.1
1960-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.02,0.0,0.0,0.0
1960-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.11,0.0,0.0,0.0,390.86,0.0
1960-07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.85,0.0,0.0,310.04
1960-07-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.08,0.0,0.0,0.0,332.59
