date,usa,canada,uk,western_europe,eastern_europe,japan,china,asia,australia,latin_america,middle_east,russia,africa
1960-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-05-01,77.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306.41,0.0,0.0,0.0
1960-05-02,119.47,0.0,1008.7,305.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-05-03,143.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-05-04,103.61,0.0,0.0,396.87,0.0,795.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-05-05,46.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-05-06,59.53,0.0,0.0,0.0,0.0,761.77,0.0,1070.94,0.0,0.0,0.0,0.0,0.0
1960-05-07,119.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-05-08,72.36,0.0,0.0,0.0,517.18,0.0,0.0,0.0,0.0,0.0,0.0,497.13,0.0
1960-05-09,75.54,0.0,0.0,482.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-05-11,108.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-05-12,74.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-05-13,65.05,0.0,0.0,0.0,1704.77,0.0,0.0,0.0,0.0,0.0,0.0,1638.68,0.0
1960-05-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-05-15,21.55,0.0,0.0,137.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-05-17,58.54,0.0,823.77,0.0,0.0,0.0,0.0,702.06,0.0,0.0,0.0,983.21,0.0
1960-05-18,61.62,0.0,0.0,393.39,0.0,788.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-05-19,176.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-05-20,55.32,1299.21,1167.55,353.12,0.0,0.0,0.0,0.0,0.0,726.23,0.0,0.0,3154.46
1960-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-05-22,24.56,0.0,518.46,313.61,643.76,0.0,0.0,441.86,0.0,0.0,0.0,1237.6,0.0
1960-05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-05-25,41.08,1447.36,0.0,393.39,0.0,0.0,0.0,1108.52,0.0,809.04,0.0,0.0,3514.18
1960-05-26,0.0,1586.53,0.0,431.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-05-27,69.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-05-28,71.68,0.0,0.0,457.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-05-29,86.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1635.17
1960-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-06-01,0.0,1527.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
