Date,GPR_AI,GPR_AER,GPR_OIL,GPR_NONOIL,GPR_OIL_MiddleEast,GPR_OIL_Russia,GPR_OIL_USA,GPR_OIL_Venezuela,GPR_OIL_Africa,GPR_OIL_Americas,GPR_OIL_Asia,GPR_OIL_NorthSea,THREATS_GPR_AI,ACTS_GPR_AI
1960-07-10,76.49,60.19,90.52,75.57,0.00,20.89,48.74,20.89,0.00,90.52,0.00,0.00,82.18,64.52
1960-07-11,214.29,119.38,0.00,228.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,204.00,185.87
1960-07-12,197.59,78.96,68.50,206.03,0.00,0.00,68.50,0.00,0.00,68.50,0.00,0.00,193.19,183.40
1960-07-13,286.77,94.73,375.71,280.95,0.00,0.00,164.37,0.00,70.45,305.27,0.00,0.00,321.30,224.86
1960-07-14,139.25,198.36,0.00,148.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,129.15,156.19
1960-07-15,183.97,137.72,65.17,191.74,0.00,0.00,0.00,0.00,65.17,0.00,0.00,0.00,206.47,149.86
1960-07-16,121.28,214.60,0.00,129.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,133.13,120.92
1960-07-17,104.14,41.40,80.81,105.66,0.00,26.94,80.81,0.00,0.00,80.81,0.00,0.00,133.16,84.13
1960-07-18,210.93,159.18,214.82,210.67,0.00,0.00,0.00,0.00,214.82,0.00,0.00,0.00,272.45,164.31
1960-07-19,269.80,198.43,158.91,277.05,0.00,79.45,0.00,0.00,79.45,79.45,0.00,0.00,271.09,267.25
1960-07-20,236.80,179.57,71.90,247.58,0.00,0.00,71.90,0.00,0.00,71.90,0.00,0.00,285.38,155.47
1960-07-21,245.97,190.24,212.20,248.18,0.00,0.00,0.00,0.00,212.20,0.00,0.00,0.00,315.22,172.37
1960-07-22,216.36,183.52,68.24,226.04,0.00,0.00,68.24,0.00,0.00,68.24,0.00,0.00,237.57,170.97
1960-07-23,212.03,130.58,135.94,217.01,0.00,0.00,0.00,0.00,135.94,0.00,0.00,0.00,243.74,213.46
1960-07-24,85.11,39.74,68.96,86.16,0.00,0.00,22.99,0.00,22.99,45.97,0.00,0.00,104.04,60.75
1960-07-25,155.72,128.57,167.31,154.97,0.00,0.00,0.00,0.00,167.31,0.00,0.00,0.00,177.66,117.72
1960-07-26,202.14,82.54,0.00,215.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,251.80,154.83
1960-07-27,194.01,100.43,0.00,206.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,215.80,179.42
