Date,GPR_AI,military_conflict,diplomatic_tension,terrorism,civil_war,nuclear_threat,coup,sanctions,other
1973-11-01,120.37,36.5442,45.2589,7.6864,4.3826,2.225,4.1803,12.2713,7.8213
1973-12-01,112.98,25.7842,45.3314,15.2614,3.2753,1.7422,1.4983,9.2509,10.8363
1974-01-01,98.96,23.8971,42.6546,10.0171,5.205,2.9135,1.4076,4.3538,8.5113
1974-02-01,95.57,19.5592,38.0237,15.2168,5.2182,1.934,2.7733,4.16,8.6849
1974-03-01,91.39,15.8718,37.3305,11.7134,8.0946,1.238,4.0632,7.8407,5.2377
1974-04-01,93.32,27.0447,32.7244,11.9573,4.8181,2.3563,8.2998,1.0551,5.0643
1974-05-01,90.82,20.0924,30.1697,15.2714,8.5222,6.9981,3.7634,0.4976,5.5052
1974-06-01,94.88,17.0847,40.0009,13.8065,5.5163,10.0239,2.3641,0.725,5.3587
1974-07-01,104.23,33.6279,30.0829,7.587,5.0359,5.4335,14.5776,0.7951,7.09
1974-08-01,103.97,45.109,28.2347,13.7852,4.7501,2.4581,3.3217,0.3986,5.9127
1974-09-01,82.77,15.1358,31.6713,11.8133,6.2758,3.9685,5.7836,1.0152,7.1064
1974-10-01,78.06,9.0846,38.9046,11.5328,5.4272,3.2445,1.9762,1.8582,6.0318
1974-11-01,92.29,13.0474,45.573,15.83,5.4725,2.1952,2.8135,1.5768,5.7817
1974-12-01,89.26,16.0738,40.3268,14.4917,4.936,3.797,2.0883,0.5063,7.0402
1975-01-01,100.52,30.2555,41.632,12.8004,5.7265,2.1436,0.6431,0.7043,6.6146
1975-02-01,98.58,27.6184,40.1783,6.6297,11.8603,1.7324,2.432,1.5991,6.5298
1975-03-01,122.88,44.477,38.9392,11.8333,11.6293,2.5357,6.587,0.8452,6.0332
1975-04-01,154.04,73.7507,39.2786,6.0549,14.669,2.9338,6.9288,0.4682,9.9562
1975-05-01,107.39,28.1232,43.4319,6.565,12.4419,2.9528,3.7842,1.0034,9.0877
1975-06-01,96.8,12.704,49.312,7.2,11.264,7.04,2.304,0.576,6.4
1975-07-01,101.38,10.675,50.6418,8.9387,14.1797,3.8584,4.9516,1.1897,6.9452
1975-08-01,104.7,8.2695,42.2715,10.6814,20.7677,2.1613,12.9368,1.9734,5.6383
1975-09-01,103.48,9.8521,46.5782,15.5423,18.8914,1.6258,4.0969,1.0405,5.8528
1975-10-01,107.24,10.3687,45.209,15.1905,20.8099,3.5892,3.8429,1.0876,7.1421
1975-11-01,101.57,17.9556,37.8543,12.0263,20.0661,3.3164,5.6279,0.268,4.4554
1975-12-01,125.12,21.6557,38.8192,26.7744,26.3448,2.0045,4.2954,0.3222,4.9039
1976-01-01,113.47,20.9352,40.9516,12.4364,28.187,3.0517,2.1001,0.4922,5.3158
1976-02-01,85.2,16.6606,36.2186,7.7611,12.4523,2.7595,4.5187,0.6899,4.1393
1976-03-01,98.97,14.2204,44.888,8.1759,16.161,3.3404,7.2215,1.1771,3.7857
