Date,GPR_AI,GPR_AER,GPR_OIL,GPR_NONOIL,THREATS_GPR_AI,ACTS_GPR_AI,GPR_OIL_MiddleEast,GPR_OIL_Russia,GPR_OIL_USA,GPR_OIL_Venezuela,GPR_OIL_Africa,GPR_OIL_Americas,GPR_OIL_Asia,GPR_OIL_NorthSea
1960-06-10,125.71,106.12,0.0,133.93,192.32,47.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-06-11,135.15,87.97,65.41,139.71,166.25,71.85,0.0,0.0,65.41,0.0,0.0,65.41,0.0,0.0
1960-06-12,83.37,98.45,0.0,88.82,118.95,39.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-06-13,207.94,123.15,0.0,221.54,267.83,106.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-06-14,105.97,127.59,0.0,112.89,136.42,54.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-06-15,150.48,163.06,141.46,151.07,209.32,77.69,0.0,0.0,0.0,0.0,141.46,0.0,0.0,0.0
1960-06-16,194.04,162.49,0.0,206.72,254.52,93.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-06-17,205.94,143.26,0.0,219.4,287.76,121.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-06-18,215.6,95.85,62.37,225.62,282.27,130.57,0.0,0.0,62.37,0.0,0.0,62.37,0.0,0.0
1960-06-19,78.99,54.28,23.55,82.62,102.47,62.23,0.0,23.55,0.0,0.0,0.0,23.55,0.0,0.0
1960-06-20,147.12,44.57,0.0,156.74,210.01,69.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-06-21,165.49,86.34,0.0,176.31,219.07,96.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-06-22,139.64,154.28,0.0,148.77,198.05,50.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-06-23,99.33,144.37,0.0,105.83,112.71,71.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-06-24,136.8,187.09,0.0,145.74,187.62,71.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-06-25,138.0,117.29,122.11,139.04,188.12,62.86,0.0,0.0,0.0,61.05,61.05,61.05,0.0,0.0
1960-06-26,82.96,54.35,47.15,85.3,108.36,59.07,0.0,23.58,47.15,0.0,0.0,23.58,0.0,0.0
1960-06-27,176.21,115.84,86.14,182.1,224.93,115.3,0.0,0.0,86.14,0.0,0.0,86.14,0.0,0.0
1960-06-28,177.27,170.41,0.0,188.86,216.19,110.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-06-29,199.85,137.0,0.0,212.92,255.73,97.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-06-30,139.43,85.17,277.07,130.43,150.49,102.71,0.0,110.83,277.07,55.41,0.0,221.66,0.0,0.0
1960-07-01,107.04,12.11,63.04,109.92,136.09,60.59,0.0,0.0,0.0,63.04,0.0,63.04,0.0,0.0
1960-07-02,94.53,109.6,285.25,82.06,111.23,62.66,0.0,171.15,228.2,285.25,0.0,285.25,0.0,0.0
1960-07-03,74.03,66.66,49.57,75.63,94.93,51.04,0.0,24.79,49.57,24.79,0.0,49.57,0.0,0.0
1960-07-04,144.82,32.77,170.59,143.13,207.87,58.55,0.0,85.29,85.29,0.0,0.0,170.59,0.0,0.0
1960-07-05,211.95,117.58,87.44,220.09,242.02,135.05,0.0,87.44,0.0,0.0,0.0,87.44,0.0,0.0
1960-07-06,130.51,37.14,257.78,122.19,118.92,110.6,0.0,0.0,193.33,0.0,0.0,193.33,64.44,0.0
1960-07-07,96.02,38.87,0.0,102.3,116.93,61.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-07-08,164.81,143.07,0.0,175.59,188.58,99.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-07-09,110.68,116.41,173.14,106.59,116.04,86.17,0.0,129.85,173.14,0.0,0.0,173.14,0.0,0.0
1960-07-10,76.49,60.19,90.52,75.57,82.18,64.52,0.0,20.89,48.74,20.89,0.0,90.52,0.0,0.0
1960-07-11,214.29,119.38,0.0,228.3,204.0,185.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-07-12,197.59,78.96,68.5,206.03,193.19,183.4,0.0,0.0,68.5,0.0,0.0,68.5,0.0,0.0
1960-07-13,286.77,94.73,375.71,280.95,321.3,224.86,0.0,0.0,164.37,0.0,70.45,305.27,0.0,0.0
1960-07-14,139.25,198.36,0.0,148.35,129.15,156.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-07-15,183.97,137.72,65.17,191.74,206.47,149.86,0.0,0.0,0.0,0.0,65.17,0.0,0.0,0.0
1960-07-16,121.28,214.6,0.0,129.21,133.13,120.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-07-17,104.14,41.4,80.81,105.66,133.16,84.13,0.0,26.94,80.81,0.0,0.0,80.81,0.0,0.0
1960-07-18,210.93,159.18,214.82,210.67,272.45,164.31,0.0,0.0,0.0,0.0,214.82,0.0,0.0,0.0
1960-07-19,269.8,198.43,158.91,277.05,271.09,267.25,0.0,79.45,0.0,0.0,79.45,79.45,0.0,0.0
